srma,method,fp,fn,tp,tn,total,fpr,fnr,specificity,sensitivity
Sommer 2023 (v1),LUMINA,513,0,22,1983,2518,0.206,0.000,0.794,1.000
Sommer 2023 (v1),Tran GPT-3.5 Turbo,187,44,189,252,672,0.426,0.189,0.574,0.811
Sommer 2023 (v2),LUMINA,870,0,11,4579,5460,0.160,0.000,0.840,1.000
Sommer 2023 (v2),Tran GPT-3.5 Turbo,776,22,98,3181,4077,0.196,0.183,0.804,0.817
Kiesswetter 2023,LUMINA,328,0,16,6480,6824,0.048,0.000,0.952,1.000
Kiesswetter 2023,Tran GPT-3.5 Turbo,2828,11,66,3573,6478,0.442,0.143,0.558,0.857
Sbidian 2023,LUMINA,1941,0,167,3272,5380,0.372,0.000,0.628,1.000
Sbidian 2023,Tran GPT-3.5 Turbo,3215,27,747,1115,5104,0.742,0.003,0.258,0.965
